,s,a,r,s1
161,[-0.5091582 -0.0006835],[0.39639282],-0.01571272695437074,[-5.0935537e-01 -1.9717662e-04]
162,[-5.0935537e-01 -1.9717662e-04],[0.80021554],-0.0640344914164789,[-0.50845903  0.00089635]
163,[-0.50845903  0.00089635],[0.8955949],-0.08020902157458956,[-0.5063328   0.00212624]
164,[-0.5063328   0.00212624],[0.67015606],-0.04491091469653306,[-0.50333077  0.00300203]
165,[-0.50333077  0.00300203],[0.77161413],-0.05953883722695572,[-0.49932322  0.00400754]
166,[-0.49932322  0.00400754],[-0.73656195],-0.054252351211190236,[-0.49660242  0.00272079]
167,[-0.49660242  0.00272079],[0.9869616],-0.09740932061213813,[-0.49260342  0.00399898]
168,[-0.49260342  0.00399898],[-0.9054945],-0.08199203096819795,[-0.4901948   0.00240861]
169,[-0.4901948   0.00240861],[0.6119002],-0.03744218674637665,[-0.48711845  0.00307635]
170,[-0.48711845  0.00307635],[0.82321644],-0.06776853042765651,[-0.48308033  0.00403812]
171,[-0.48308033  0.00403812],[0.3557065],-0.012652712333940386,[-0.4788118   0.00426854]
172,[-0.4788118   0.00426854],[-0.9166292],-0.08402090815174149,[-0.4762531  0.0025587]
173,[-0.4762531  0.0025587],[-0.80658853],-0.06505850575994288,[-0.47525817  0.00099492]
174,[-0.47525817  0.00099492],[0.55099034],-0.030359035818270288,[-0.47379807  0.00146012]
175,[-0.47379807  0.00146012],[0.92883354],-0.08627317529320103,[-0.4713168   0.00248125]
176,[-0.4713168   0.00248125],[-0.3269864],-0.010692010727155666,[-0.46971655  0.00160026]
177,[-0.46971655  0.00160026],[-0.67678237],-0.04580343758198638,[-4.6953383e-01  1.8272959e-04]
178,[-4.6953383e-01  1.8272959e-04],[-0.02783268],-7.746581490797635e-05,[-4.6979657e-01 -2.6273099e-04]
179,[-4.6979657e-01 -2.6273099e-04],[-0.8002639],-0.06404222803269022,[-0.47166145 -0.00186489]
180,[-0.47166145 -0.00186489],[-0.5885398],-0.034637907168459846,[-0.52185243 -0.00090268]
181,[-0.52185243 -0.00090268],[0.02679041],-7.177262825870529e-05,[-0.522728   -0.00087559]
182,[-0.522728   -0.00087559],[0.9402483],-0.08840668855221204,[-0.52219975  0.00052825]
183,[-0.52219975  0.00052825],[-0.41209498],-0.016982227293539955,[-5.22300124e-01 -1.00382276e-04]
184,[-5.22300124e-01 -1.00382276e-04],[-0.41051212],-0.01685202002823525,[-0.523026   -0.00072589]
185,[-0.523026   -0.00072589],[-0.8067634],-0.06508672006316943,[-0.5249663  -0.00194033]
186,[-0.5249663  -0.00194033],[-0.08082572],-0.0006532796408472486,[-0.5270176  -0.00205131]
187,[-0.5270176  -0.00205131],[0.2465104],-0.006076737798268206,[-0.5286735  -0.00165591]
188,[-0.5286735  -0.00165591],[-0.05177777],-0.00026809377359784947,[-0.53036904 -0.00169551]
189,[-0.53036904 -0.00169551],[0.4543023],-0.020639058972869863,[-0.5313323  -0.00096329]
