,s,a,r,s1
309,[-0.06699198 -0.77559966  0.08198684  1.2191721 ],0,1.0,[-0.08250397 -0.9716772   0.10637029  1.5363775 ]
310,[-0.08250397 -0.9716772   0.10637029  1.5363775 ],1,1.0,[-0.04685157  0.23465642  0.01249509 -0.31186098]
311,[-0.04685157  0.23465642  0.01249509 -0.31186098],1,1.0,[-0.04215844  0.42959815  0.00625787 -0.6005773 ]
312,[-0.04215844  0.42959815  0.00625787 -0.6005773 ],1,1.0,[-0.03356648  0.624632   -0.00575367 -0.89128256]
313,[-0.03356648  0.624632   -0.00575367 -0.89128256],0,1.0,[-0.02107384  0.4295886  -0.02357932 -0.6004138 ]
314,[-0.02107384  0.4295886  -0.02357932 -0.6004138 ],0,1.0,[-0.01248207  0.2348043  -0.0355876  -0.31525028]
315,[-0.01248207  0.2348043  -0.0355876  -0.31525028],0,1.0,[-0.0367703  -0.23458765  0.01571397  0.27747223]
316,[-0.0367703  -0.23458765  0.01571397  0.27747223],0,1.0,[-0.04146206 -0.4299302   0.02126341  0.5750696 ]
317,[-0.04146206 -0.4299302   0.02126341  0.5750696 ],0,1.0,[-0.05006066 -0.6253437   0.03276481  0.87437457]
318,[-0.05006066 -0.6253437   0.03276481  0.87437457],1,1.0,[-0.06256754 -0.43068215  0.0502523   0.59217006]
319,[-0.06256754 -0.43068215  0.0502523   0.59217006],0,1.0,[-0.07118118 -0.62647027  0.0620957   0.9002494 ]
320,[-0.07118118 -0.62647027  0.0620957   0.9002494 ],1,1.0,[-0.04877486  0.1682121   0.00122202 -0.26968652]
321,[-0.04877486  0.1682121   0.00122202 -0.26968652],1,1.0,[-0.04541061  0.3633166  -0.00417172 -0.56198376]
322,[-0.04541061  0.3633166  -0.00417172 -0.56198376],0,1.0,[-0.03814428  0.16825344 -0.01541139 -0.27061805]
323,[-0.03814428  0.16825344 -0.01541139 -0.27061805],0,1.0,[-0.03477921 -0.02664524 -0.02082375  0.01716449]
324,[-0.03477921 -0.02664524 -0.02082375  0.01716449],0,1.0,[-0.03531212 -0.22146246 -0.02048046  0.30320522]
325,[-0.03531212 -0.22146246 -0.02048046  0.30320522],0,1.0,[-0.04393005 -0.1722062   0.0444059   0.342352  ]
326,[-0.04393005 -0.1722062   0.0444059   0.342352  ],1,1.0,[-0.04737417  0.02225679  0.05125294  0.06399611]
327,[-0.04737417  0.02225679  0.05125294  0.06399611],0,1.0,[-0.04692904 -0.17356111  0.05253286  0.37239903]
328,[-0.04692904 -0.17356111  0.05253286  0.37239903],0,1.0,[-0.05040026 -0.36938846  0.05998084  0.6811724 ]
329,[-0.05040026 -0.36938846  0.05998084  0.6811724 ],0,1.0,[-0.05778803 -0.5652899   0.07360429  0.9921199 ]
330,[-0.05778803 -0.5652899   0.07360429  0.9921199 ],0,1.0,[ 0.00785166 -0.2280412   0.01314947  0.25966662]
331,[ 0.00785166 -0.2280412   0.01314947  0.25966662],0,1.0,[ 0.00329083 -0.42334837  0.0183428   0.5564679 ]
332,[ 0.00329083 -0.42334837  0.0183428   0.5564679 ],0,1.0,[-0.00517613 -0.618723    0.02947216  0.85487294]
333,[-0.00517613 -0.618723    0.02947216  0.85487294],0,1.0,[-0.01755059 -0.81423396  0.04656962  1.1566756 ]
334,[-0.01755059 -0.81423396  0.04656962  1.1566756 ],0,1.0,[-0.03383527 -1.009931    0.06970313  1.4635894 ]
335,[-0.03383527 -1.009931    0.06970313  1.4635894 ],0,1.0,[-0.00084365 -0.18223043  0.01151603  0.27235633]
