,s,a,r,s1
164,[-0.9787716  -0.20495392  3.9841063 ],[-1.6973734],-10.20544969809292,[-0.9267211  -0.37574995  3.575785  ]
165,[-0.9267211  -0.37574995  3.575785  ],[0.18220223],-8.87632500767077,[-0.8518595 -0.5237704  3.321303 ]
166,[-0.8518595 -0.5237704  3.321303 ],[0.02802292],-7.812872156759619,[-0.7661902 -0.6426139  2.9326785]
167,[-0.7661902 -0.6426139  2.9326785],[1.8421719],-6.835063485431662,[-0.6717282 -0.7407977  2.7270439]
168,[-0.6717282 -0.7407977  2.7270439],[-0.90435815],-6.068291830517546,[-0.5929759 -0.8052202  2.0357919]
169,[-0.5929759 -0.8052202  2.0357919],[-0.69496375],-5.279360611719672,[-0.53825736 -0.84278053  1.3276321 ]
170,[-0.53825736 -0.84278053  1.3276321 ],[0.29687506],-4.752372796747539,[-0.5067098 -0.8621167  0.740078 ]
171,[-0.5067098 -0.8621167  0.740078 ],[-1.3441095],-4.475656581697969,[-0.51136327 -0.8593647  -0.10812598]
172,[-0.51136327 -0.8593647  -0.10812598],[0.9891205],-4.443984936652834,[-0.53709084 -0.84352446 -0.6042814 ]
173,[-0.53709084 -0.84352446 -0.6042814 ],[-1.0816561],-4.607792262559311,[-0.59474075 -0.8039176  -1.3991731 ]
174,[-0.59474075 -0.8039176  -1.3991731 ],[1.6029773],-5.072451522704898,[-0.66315514 -0.7484819  -1.7616647 ]
175,[-0.66315514 -0.7484819  -1.7616647 ],[-0.8961151],-5.581951045584046,[-0.7498918 -0.6615605 -2.4574435]
176,[-0.7498918 -0.6615605 -2.4574435],[-1.8286929],-6.457331723947252,[-0.84645635 -0.5324581  -3.2279177 ]
177,[-0.84645635 -0.5324581  -3.2279177 ],[-1.4781592],-7.700998467226642,[-0.9326695  -0.36073205 -3.8489852 ]
178,[-0.9326695  -0.36073205 -3.8489852 ],[0.19757894],-9.168485788540224,[-0.9864909  -0.16381611 -4.089897  ]
179,[-0.9864909  -0.16381611 -4.089897  ],[-1.3365002],-10.537248902653548,[-0.9984266   0.05607451 -4.4132347 ]
180,[-0.9984266   0.05607451 -4.4132347 ],[0.12227262],-11.467919435603488,[-0.962765    0.27033967 -4.3528376 ]
181,[-0.962765    0.27033967 -4.3528376 ],[1.0361193],-10.12033860164534,[-0.8899873   0.45598537 -3.9946651 ]
182,[-0.8899873   0.45598537 -3.9946651 ],[0.9787776],-8.715522956786916,[-0.79682636  0.6042084  -3.5058594 ]
183,[-0.79682636  0.6042084  -3.5058594 ],[0.16972946],-7.443288391496842,[-0.6966104  0.7174496 -3.0272436]
184,[-0.6966104  0.7174496 -3.0272436],[-0.81381303],-6.39951026189961,[-0.5972762  0.8020356 -2.6112285]
185,[-0.5972762  0.8020356 -2.6112285],[0.37211967],-5.5700554094719115,[-0.5161986  0.8564689 -1.9538838]
186,[-0.5161986  0.8564689 -1.9538838],[0.52328444],-4.847666124695666,[-0.4624483  0.8866463 -1.2330394]
187,[-0.4624483  0.8866463 -1.2330394],[-1.6138504],-4.3635039851343205,[-0.42616373  0.90464604 -0.81013227]
188,[-0.42616373  0.90464604 -0.81013227],[-1.0147887],-4.11096011636693,[-0.41328132  0.9106034  -0.28386605]
189,[-0.41328132  0.9106034  -0.28386605],[-0.81545097],-3.996136580701765,[-0.4258427   0.9047972   0.27676886]
190,[-0.4258427   0.9047972   0.27676886],[1.7470131],-4.0535839021281985,[-0.48009586  0.87721604  1.2174188 ]
