,s,a,r,s1
140,[-0.06328567  0.11258649 -0.23860167  0.48669978],[0.29149222],1.0,[-0.07107697  0.129622   -0.15150734  0.37022586]
141,[-0.07107697  0.129622   -0.15150734  0.37022586],[-0.9295379],1.0,[-0.08351732  0.16103193 -0.46954087  1.19366035]
142,[-0.08351732  0.16103193 -0.46954087  1.19366035],[1.3961215],1.0,[-0.09326301  0.18998641 -0.02009587  0.27434781]
143,[-0.09326301  0.18998641 -0.02009587  0.27434781],[-2.7707238],1.0,[-0.11263891  0.24615191 -0.94408576  2.50421515]
144,[ 0.00019275  0.00088544 -0.00768866  0.00450398],[-0.929544],1.0,[-0.00630273  0.01539971 -0.31625488  0.71409273]
145,[-0.00630273  0.01539971 -0.31625488  0.71409273],[2.275867],1.0,[-0.00374506  0.00845115  0.44156908 -1.03836007]
146,[-0.00374506  0.00845115  0.44156908 -1.03836007],[-0.08480466],1.0,[ 0.01317306 -0.03015781  0.40525695 -0.90161004]
147,[ 0.01317306 -0.03015781  0.40525695 -0.90161004],[2.8120959],1.0,[ 0.04798584 -0.10876243  1.3324343  -3.01000522]
148,[ 0.04798584 -0.10876243  1.3324343  -3.01000522],[1.7748665],1.0,[ 0.11261019 -0.25397686  1.89532866 -4.24618171]
149,[-0.00189969 -0.00574334  0.0019248  -0.00503351],[-0.94236296],1.0,[-0.00808279  0.00844546 -0.31024283  0.70727671]
150,[-0.00808279  0.00844546 -0.31024283  0.70727671],[-2.538911],1.0,[-0.03728523  0.07499322 -1.14760515  2.60438359]
151,[-0.03728523  0.07499322 -1.14760515  2.60438359],[-1.5598024],1.0,[-0.09319541  0.2009371  -1.64595408  3.69274414]
152,[-0.0051678   0.00775023  0.00638953  0.00361724],[-2.2917013],1.0,[-0.0201755   0.04331111 -0.75457964  1.75624963]
153,[-0.0201755   0.04331111 -0.75457964  1.75624963],[-2.901671],1.0,[-0.06940678  0.15650199 -1.70304936  3.88515291]
154,[-0.06940678  0.15650199 -1.70304936  3.88515291],[-1.4248686],1.0,[-0.14627436  0.33064479 -2.13609729  4.82145377]
155,[-0.00211086  0.003789   -0.00174183  0.00340758],[-2.3675356],1.0,[-0.01793929  0.04041599 -0.78743059  1.8092703 ]
156,[-0.01793929  0.04041599 -0.78743059  1.8092703 ],[-1.4745038],1.0,[-0.05901528  0.13383262 -1.26535924  2.86103799]
157,[-0.05901528  0.13383262 -1.26535924  2.86103799],[2.6724997],1.0,[-0.0917869   0.20726584 -0.37954354  0.86160303]
158,[ 0.00108714 -0.0097098  -0.00533993  0.00659854],[0.17911251],1.0,[ 0.0020844  -0.0123948   0.05502947 -0.13933586]
159,[ 0.0020844  -0.0123948   0.05502947 -0.13933586],[2.7241926],1.0,[ 0.02240518 -0.05986697  0.95837278 -2.2132828 ]
160,[ 0.02240518 -0.05986697  0.95837278 -2.2132828 ],[2.6225624],1.0,[ 0.07784786 -0.18659434  1.80973885 -4.10834411]
161,[ 0.07784786 -0.18659434  1.80973885 -4.10834411],[-1.7990971],1.0,[ 0.13795314 -0.32261323  1.20252379 -2.7509935 ]
162,[-0.0065585  -0.00601043  0.00361762 -0.0088462 ],[-0.3402685],1.0,[-0.00866873 -0.00122602 -0.10882628  0.2454454 ]
163,[-0.00866873 -0.00122602 -0.10882628  0.2454454 ],[0.04693364],1.0,[-0.01267308  0.00755275 -0.09163528  0.19593158]
164,[-0.01267308  0.00755275 -0.09163528  0.19593158],[-2.682764],1.0,[-0.03416976  0.05654042 -0.98064368  2.23327163]
165,[-0.03416976  0.05654042 -0.98064368  2.23327163],[-2.7323847],1.0,[-0.09122343  0.18570032 -1.8677015   4.20842514]
166,[-0.09122343  0.18570032 -1.8677015   4.20842514],[-2.4571466],1.0,[-0.18119823  0.38737859 -2.62037506  5.84747906]
167,[ 0.00357897 -0.00551997  0.00788714  0.00505252],[0.13461451],1.0,[ 0.00479875 -0.00748136  0.05297438 -0.10201007]
168,[ 0.00479875 -0.00748136  0.05297438 -0.10201007],[1.2937036],1.0,[ 0.01551987 -0.03143409  0.48197427 -1.08640293]
169,[ 0.01551987 -0.03143409  0.48197427 -1.08640293],[-2.903762],1.0,[ 0.01539089 -0.02956322 -0.4850047   1.14898054]
170,[ 0.01539089 -0.02956322 -0.4850047   1.14898054],[1.7241833],1.0,[ 0.00769475 -0.01226948  0.09773244 -0.26124059]
171,[ 0.00769475 -0.01226948  0.09773244 -0.26124059],[2.1458902],1.0,[ 0.0258598  -0.05557346  0.80859893 -1.88881551]
172,[ 0.0258598  -0.05557346  0.80859893 -1.88881551],[1.6235782],1.0,[ 0.06877055 -0.1545577   1.3355027  -3.05794251]
173,[ 0.06877055 -0.1545577   1.3355027  -3.05794251],[-2.0933409],1.0,[ 0.10817106 -0.24481347  0.64047265 -1.50319709]
174,[0.00050105 0.00179836 0.00310551 0.00759376],[2.0710423],1.0,[ 0.01439421 -0.02964454  0.68965497 -1.56368887]
175,[ 0.01439421 -0.02964454  0.68965497 -1.56368887],[2.1261559],1.0,[ 0.05590775 -0.12327351  1.38407758 -3.10963761]
176,[ 0.05590775 -0.12327351  1.38407758 -3.10963761],[-2.5835533],1.0,[ 0.09391822 -0.20720702  0.52296403 -1.14004362]
177,[-0.00948154 -0.00711008  0.00851578  0.00945265],[-2.2522104],1.0,[-0.02410908  0.02773177 -0.73783682  1.71532948]
178,[-0.02410908  0.02773177 -0.73783682  1.71532948],[-2.9603634],1.0,[-0.07305442  0.13997697 -1.70574619  3.87951066]
179,[-0.07305442  0.13997697 -1.70574619  3.87951066],[-0.81726426],1.0,[-0.14607652  0.30473101 -1.94381012  4.37081668]
180,[ 0.00908832 -0.00536798 -0.00114865 -0.00522972],[0.6165373],1.0,[ 0.01315135 -0.01512963  0.20375176 -0.47813918]
181,[ 0.01315135 -0.01512963  0.20375176 -0.47813918],[1.9416834],1.0,[ 0.03416955 -0.06373974  0.84554208 -1.94039713]
182,[ 0.03416955 -0.06373974  0.84554208 -1.94039713],[-1.0764692],1.0,[ 0.06066946 -0.12372007  0.48220017 -1.0839269 ]
183,[ 0.06066946 -0.12372007  0.48220017 -1.0839269 ],[1.0122726],1.0,[ 0.08673483 -0.18371481  0.82021091 -1.91311696]
184,[ 0.08673483 -0.18371481  0.82021091 -1.91311696],[-0.84517306],1.0,[ 0.11404283 -0.24919393  0.54769871 -1.3834313 ]
185,[-0.00872263  0.00792159 -0.00915222  0.00886578],[-1.9116535],1.0,[-0.02182341  0.03785136 -0.6440917   1.47261701]
186,[-0.02182341  0.03785136 -0.6440917   1.47261701],[2.453507],1.0,[-0.03114095  0.05808959  0.17472347 -0.42928342]
187,[-0.03114095  0.05808959  0.17472347 -0.42928342],[-1.9106222],1.0,[-0.0370472   0.07215542 -0.46781353  1.11324833]
188,[-0.0370472   0.07215542 -0.46781353  1.11324833],[-2.8964596],1.0,[-0.07493316  0.16099717 -1.42252186  3.30654604]
189,[-0.07493316  0.16099717 -1.42252186  3.30654604],[2.9709923],1.0,[-0.11203361  0.24810831 -0.44035672  1.10997749]
190,[-0.00234421  0.00224638  0.00266879 -0.00802113],[-2.4655032],1.0,[-0.01864621  0.03990122 -0.8154201   1.87125013]
191,[-0.01864621  0.03990122 -0.8154201   1.87125013],[2.565703],1.0,[-0.0340151   0.07389674  0.04290361 -0.13513345]
192,[-0.0340151   0.07389674  0.04290361 -0.13513345],[0.34337333],1.0,[-0.03020812  0.06517663  0.14734871 -0.30029013]
193,[-0.03020812  0.06517663  0.14734871 -0.30029013],[-2.4956264],1.0,[-0.04108666  0.09331681 -0.6883793   1.68347726]
194,[-0.04108666  0.09331681 -0.6883793   1.68347726],[1.4267823],1.0,[-0.05910855  0.13888612 -0.21565239  0.6208519 ]
195,[-0.05910855  0.13888612 -0.21565239  0.6208519 ],[0.5300887],1.0,[-0.06444923  0.15814146 -0.05225076  0.34986372]
